 Date       , Amount  , Payment Method ,description,category
 2024-08-05 ,€ 19.99, iDEAL          , Basic-Fit           ,Geschiktheid       
 2024-08-05 ,€ 4.50, Debit Card     , Starbucks           ,Dineren
 2024-08-05 ,€ 13.99, Tikkie         , Netflix             ,Amusement 
 2024-08-06 ,€ 45.30, Debit Card     , Jumbo               ,Boodschappen     
 2024-08-06 ,€ 89.99, iDEAL          , H&M                 ,Kleding      
 2024-08-06 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-06 ,€ 65.20, Debit Card     , Burger King         ,Dineren
 2024-08-06 ,€ 25.00, iDEAL          , Cinema City         ,Amusement 
 2024-08-06 ,€ 120.00, iDEAL          , Eneco               ,Nutsvoorzieningen     
 2024-08-06 ,€ 15.75, Debit Card     , Kruidvat            ,Gezondheidszorg    
 2024-08-06 ,€ 19.99, iDEAL          , Fit For Free        ,Geschiktheid       
 2024-08-06 ,€ 4.50, Debit Card     , CoffeeCompany       ,Dineren
 2024-08-06 ,€ 13.99, Tikkie         , Spotify             ,Amusement 
 2024-08-07 ,€ 45.30, Debit Card     , Lidl                ,Boodschappen     
 2024-08-07 ,€ 89.99, iDEAL          , Uniqlo              ,Kleding      
 2024-08-07 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-07 ,€ 65.20, Debit Card     , Vapiano             ,Dineren
 2024-08-07 ,€ 25.00, iDEAL          , Kinepolis           ,Amusement 
 2024-08-07 ,€ 120.00, iDEAL          , Greenchoice         ,Nutsvoorzieningen     
 2024-08-07 ,€ 15.75, Debit Card     , DA                  ,Gezondheidszorg    
 2024-08-07 ,€ 19.99, iDEAL          , HealthCity          ,Geschiktheid       
 2024-08-07 ,€ 4.50, Debit Card     , Dunkin' Donuts      ,Dineren
 2024-08-07 ,€ 13.99, Tikkie         , Disney+             ,Amusement 
